Week,Item 1,Item 2
Week 0,54,15
Week 1,48,15
Week 2,51,13
Week 3,44,16
Week 4,44,16
Week 5,47,17
Week 6,52,17
Week 7,44,17
Week 8,45,22
Week 9,46,15
Week 10,49,17
Week 11,46,16
Week 12,47,14
Week 13,44,16
Week 14,44,14
Week 15,44,14
Week 16,43,13
Week 17,44,12
Week 18,45,13
Week 19,49,14
Week 20,54,16
Week 21,47,14
Week 22,46,13
Week 23,45,13
Week 24,62,12
Week 25,46,13
Week 26,100,13
Week 27,73,14
Week 28,75,12
Week 29,66,13
Week 30,48,16
Week 31,45,16
Week 32,43,14
Week 33,46,15
Week 34,51,16
Week 35,44,13
Week 36,44,16
Week 37,41,18
Week 38,47,15
Week 39,51,14
Week 40,46,15
Week 41,48,15
Week 42,45,17
Week 43,43,19
Week 44,45,16
Week 45,44,13
Week 46,53,17
Week 47,58,14
Week 48,55,11
Week 49,50,11
Week 50,64,13
Week 51,65,15
Week 52,56,13
Week 53,52,12
Week 54,59,13
Week 55,59,13
Week 56,49,11
Week 57,43,12
Week 58,43,12
Week 59,43,13
Week 60,43,13
