Week,Item 1,Item 2
Week 0,4,4
Week 1,3,4
Week 2,4,5
Week 3,6,8
Week 4,5,8
Week 5,5,7
Week 6,7,7
Week 7,5,6
Week 8,4,3
Week 9,4,3
Week 10,4,3
Week 11,11,3
Week 12,8,2
Week 13,7,2
Week 14,7,2
Week 15,6,2
Week 16,6,1
Week 17,4,2
Week 18,4,1
Week 19,5,3
Week 20,5,2
Week 21,7,2
Week 22,11,2
Week 23,10,4
Week 24,9,3
Week 25,9,3
Week 26,9,3
Week 27,38,4
Week 28,70,6
Week 29,100,6
Week 30,49,5
Week 31,21,4
Week 32,6,2
Week 33,5,2
Week 34,3,2
Week 35,3,1
Week 36,5,2
Week 37,6,2
Week 38,4,3
Week 39,5,2
Week 40,4,2
Week 41,4,1
Week 42,15,3
Week 43,28,4
Week 44,20,4
Week 45,19,4
Week 46,18,6
Week 47,16,6
Week 48,19,6
Week 49,19,5
Week 50,17,6
Week 51,16,6
Week 52,18,6
Week 53,21,7
Week 54,24,7
Week 55,46,7
Week 56,51,10
Week 57,44,10
Week 58,33,6
Week 59,15,3
Week 60,12,4
